Event ID,Timestamp,Source IP,Destination IP,User Agent,Attack Type,Attack Severity,Data Exfiltrated,Threat Intelligence,Response Action
2019969e-ecfa-41c4-b681-9b684bc3b3bf,2020-02-07 23:46:57,219.80.193.15,44.155.75.24,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_8 rv:4.0; lg-UG) AppleWebKit/531.26.1 (KHTML, like Gecko) Version/4.1 Safari/531.26.1",Ransomware,Critical,False,Crime low this behind option tax product.,Eradicated
1668e954-781f-4731-94dc-24218b983ba1,2021-05-25 19:03:44,110.155.68.245,178.123.150.38,"Mozilla/5.0 (Windows 95) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/40.0.877.0 Safari/534.2",Malware,Critical,True,Responsibility work way effect.,Eradicated
0ef24a20-1d25-41fa-81b8-e19fb63e9e4c,2022-01-04 09:08:07,171.153.115.83,76.187.142.133,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2010-08-27 15:07:09 Firefox/3.6.12,Ransomware,High,False,Artist though type imagine food push.,Eradicated
073b6225-0998-488c-aa1c-23e49814b6ff,2022-10-12 19:48:43,29.49.228.195,89.39.7.177,"Mozilla/5.0 (Linux; Android 7.1.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/57.0.849.0 Safari/535.1",DDoS,Critical,False,In still military despite TV look.,Contained
783fd153-6b88-44c1-8db5-d882300088cc,2021-11-24 02:04:33,120.43.64.52,113.82.34.164,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_6 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/12.1u1520.0 Mobile/35J904 Safari/534.2",Malware,Medium,False,Push always least police it range either.,Eradicated
e3f69b23-e5d0-4a39-b894-ab87413a93b6,2022-06-11 02:11:58,114.170.234.8,36.246.60.2,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.1),Insider Threat,Medium,False,Enough trip successful total every.,Recovered
8b292334-60f6-4693-b563-39f399a4fae9,2020-08-24 18:30:46,212.62.126.191,31.113.210.1,Mozilla/5.0 (Windows CE; yi-US; rv:1.9.2.20) Gecko/2017-03-17 08:04:17 Firefox/3.8,DDoS,Medium,False,Form nothing new agree.,Recovered
36c0362b-2821-4e2b-bc6d-58bc3dcd5851,2022-03-31 20:12:23,24.171.248.77,9.122.217.42,Opera/9.14.(Windows NT 4.0; ayc-PE) Presto/2.9.187 Version/12.00,Insider Threat,Low,False,Require leg after school whom administration author.,Blocked
f2b68ec9-37f1-4c38-a9ba-37a630694893,2021-08-05 14:26:13,78.151.115.57,104.124.29.74,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_3 rv:3.0; or-IN) AppleWebKit/533.37.2 (KHTML, like Gecko) Version/4.1 Safari/533.37.2",Malware,Medium,False,Parent stop attack by increase feel.,Blocked
9a0454f5-b7ad-4ed7-8001-6fd63a1d4709,2022-01-30 11:55:17,118.187.114.245,193.98.57.7,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2022-03-18 20:23:59 Firefox/7.0,Ransomware,High,False,Article different oil investment maybe career.,Blocked
eef11ebf-568a-4da5-89d2-88e2410c6798,2020-01-18 07:03:02,17.33.248.161,62.252.69.248,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/5.0),Phishing,Critical,False,Himself leader issue land difficult.,Contained
